종목코드,회사명,배당기록
018260, 삼성에스디에스,2012 : 250  2013 : 250  2014 : 500  2015 : 500  
001820, 삼화콘덴서,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
000970, 한국주철관,2013 : 175  2014 : 150  2015 : 125  2016 : 150  
215200, 메가스터디교육,- : -  - : -  - : -  2015 : 1200  
024940, PN풍년,2012 : 25  2013 : 25  2014 : 25  2015 : 25  
068760, 셀트리온제약,2012 : -  2013 : -  2014 : 25  2015 : 15  
101670, 코리아에스이,2012 : 80  2013 : 80  2014 : 30  2015 : 120  
088130, 동아엘텍,2012 : 75  2013 : 105  2014 : 105  2015 : 130  
032560, 황금에스티,2012 : 50  2013 : 50  2014 : 50  2015 : 25  
006040, 동원산업,2012 : 3000  2013 : 3000  2014 : 2000  2015 : 2000  
010770, 평화홀딩스,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
006280, 녹십자,2012 : 1250  2013 : 1250  2014 : 1250  2015 : 1750  
007370, 진양제약,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
005190, 동성화학,2012 : 160  2013 : 250  2014 : 250  2015 : 500  
053270, 구영테크,2012 : -  2013 : -  2014 : -  2015 : 100  
136540, 윈스,2012 : 200  2013 : 200  2014 : 200  2015 : 240  
131090, 시큐브,2012 : 60  2013 : -  2014 : -  2015 : 114  
047810, 한국항공우주,2012 : 200  2013 : 200  2014 : 250  2015 : 400  
081970, 한솔넥스지,2012 : -  2013 : 20  2014 : 20  2015 : 20  
009310, 참엔지니어링,2012 : -  2013 : -  2014 : -  2015 : -  
045890, 동부라이텍,2012 : -  2013 : -  2014 : -  2015 : -  
001810, 무림SP,2012 : 80  2013 : 50  2014 : 35  2015 : 35  
002900, 동양물산,2012 : 150  2013 : 150  2014 : 100  2015 : 150  
024950, 삼천리자전거,2012 : 150  2013 : 150  2014 : 200  2015 : 200  
066570, LG전자,2012 : 200  2013 : 200  2014 : 400  2015 : 400  
089470, 현대EP,2012 : 60  2013 : 80  2014 : 100  2015 : 130  
101680, 한국정밀기계,2011 : 200  2012 : -  2013 : -  2014 : -  
000720, 현대건설,2012 : 500  2013 : 500  2014 : 500  2015 : 500  
089230, 용현BM,2012 : -  2013 : -  2014 : -  2015 : -  
054340, 피앤텔,2012 : -  2013 : -  2014 : -  2015 : -  
900140, 코라오홀딩스,2012 : 14  2013 : 14  2014 : 20  2015 : 100  
033660, 아주캐피탈,2012 : 300  2013 : 250  2014 : 300  2015 : 400  
