종목코드 , 회사명, 배당기록 
018260, 삼성에스디에스,2012년:250 2013년:250 2014년:500 2015년:500 
215200, 메가스터디교육,-년:- -년:- -년:- 2015년:1200 
001820, 삼화콘덴서,2012년:50 2013년:50 2014년:50 2015년:50 
000970, 한국주철관,2013년:175 2014년:150 2015년:125 2016년:150 
024940, PN풍년,2012년:25 2013년:25 2014년:25 2015년:25 
068760, 셀트리온제약,2012년:- 2013년:- 2014년:25 2015년:15 
101670, 코리아에스이,2012년:80 2013년:80 2014년:30 2015년:120 
088130, 동아엘텍,2012년:75 2013년:105 2014년:105 2015년:130 
032560, 황금에스티,2012년:50 2013년:50 2014년:50 2015년:25 
006040, 동원산업,2012년:3000 2013년:3000 2014년:2000 2015년:2000 
010770, 평화홀딩스,2012년:100 2013년:100 2014년:100 2015년:100 
006280, 녹십자,2012년:1250 2013년:1250 2014년:1250 2015년:1750 
007370, 진양제약,2012년:100 2013년:100 2014년:100 2015년:100 
005190, 동성화학,2012년:160 2013년:250 2014년:250 2015년:500 
053270, 구영테크,2012년:- 2013년:- 2014년:- 2015년:100 
136540, 윈스,2012년:200 2013년:200 2014년:200 2015년:240 
131090, 시큐브,2012년:60 2013년:- 2014년:- 2015년:114 
047810, 한국항공우주,2012년:200 2013년:200 2014년:250 2015년:400 
081970, 한솔넥스지,2012년:- 2013년:20 2014년:20 2015년:20 
009310, 참엔지니어링,2012년:- 2013년:- 2014년:- 2015년:- 
045890, 동부라이텍,2012년:- 2013년:- 2014년:- 2015년:- 
001810, 무림SP,2012년:80 2013년:50 2014년:35 2015년:35 
002900, 동양물산,2012년:150 2013년:150 2014년:100 2015년:150 
024950, 삼천리자전거,2012년:150 2013년:150 2014년:200 2015년:200 
101680, 한국정밀기계,2011년:200 2012년:- 2013년:- 2014년:- 
066570, LG전자,2012년:200 2013년:200 2014년:400 2015년:400 
089470, 현대EP,2012년:60 2013년:80 2014년:100 2015년:130 
000720, 현대건설,2012년:500 2013년:500 2014년:500 2015년:500 
089230, 용현BM,2012년:- 2013년:- 2014년:- 2015년:- 
054340, 피앤텔,2012년:- 2013년:- 2014년:- 2015년:- 
900140, 코라오홀딩스,2012년:14 2013년:14 2014년:20 2015년:100 
033660, 아주캐피탈,2012년:300 2013년:250 2014년:300 2015년:400 
032580, 피델릭스,2011년:30 2012년:30 2013년:30 2014년:- 
009780, 엠에스씨,2012년:450 2013년:450 2014년:450 2015년:450 
005180, 빙그레,2012년:1400 2013년:1250 2014년:1250 2015년:1250 
028080, 휴맥스홀딩스,2012년:150 2013년:100 2014년:100 2015년:100 
173940, 에프엔씨엔터,2012년:- 2013년:- 2014년:400 2015년:400 
012700, 리드코프,2012년:100 2013년:100 2014년:100 2015년:150 
204320, 만도,-년:- -년:- 2014년:2000 2015년:4800 
035600, KG이니시스,2012년:125 2013년:150 2014년:200 2015년:200 
053260, 금강철강,2012년:100 2013년:100 2014년:100 2015년:100 
079430, 현대리바트,2012년:60 2013년:60 2014년:80 2015년:80 
004090, 한국석유,2012년:750 2013년:1000 2014년:1000 2015년:1300 
104700, 한국철강,2012년:900 2013년:900 2014년:900 2015년:900 
195990, 유지인트,2012년:345 2013년:345 2014년:345 2015년:140 
137400, 피엔티,2009년:60 2012년:200 2013년:- 2014년:100 
