종목코드,회사명
060310,3S
079940,가비아
078890,가온미디어
000500,가온전선
192410,감마누
024840,갑을메탈
000860,강남제비스코
217730,강스템바이오텍
035250,강원랜드
011420,갤럭시아에스엠
094480,갤럭시아컴즈
063080,게임빌
039240,경남스틸
053950,경남제약
002100,경농
012320,경동가스
009450,경동나비엔
011040,경동제약
000050,경방
214390,경보제약
139050,경봉
012610,경인양행
009140,경인전자
024910,경창산업
013580,계룡건설
012200,계양전기
012205,계양전기우
004200,고려개발
089890,#고려반도체
002140,고려산업
049720,고려신용정보
010130,고려아연
002240,고려제강
014570,고려제약
009810,고려포리머
098460,고영
206660,골든브릿지제2호스
219580,골든브릿지제3호스
227950,골든브릿지제4호스
001290,골든브릿지증권
123900,골든블루
900280,골든센츄리
215000,골프존
121440,골프존유원홀딩스
009290,광동제약
014200,광림
017040,광명전기
017900,광전자
037710,광주신세계
192530,광주은행
026910,광진실업
090150,광진윈텍
140910,광희리츠
223040,교보5호스팩
242040,교보비엔케이스팩
030610,교보증권
201150,교육혁명
053270,구영테크
007690,국도화학
005320,국동
001140,국보
066620,국보디자인
043650,국순당
006050,국영지앤엠
060480,국일신동
078130,국일제지
002720,국제약품
019010,그랜드백화점
000980,극동건설
014530,극동유화
900070,글로벌에스엠
019660,글로본
014280,금강공업
014285,금강공업우
053260,금강철강
008870,금비
072930,금산
058370,#금성테크
001570,금양
002990,금호산업
002995,금호산업우
011780,금호석유
011785,금호석유우
214330,금호에이치티
130500,금호엔티
001210,금호전기
073240,금호타이어
036190,금화피에스시
049080,기가레인
035460,기산텔레콤
092440,기신정기
000270,기아차
024110,기업은행
013700,까뮤이앤씨
004540,깨끗한나라
004545,깨끗한나라우
237010,끄렘드라끄렘
187790,나노
151910,#나노스
121600,나노신소재
039860,나노엔텍
091970,나노캠텍
051490,나라엠앤디
007460,나라케이아이씨
190510,나무가
089600,나스미디어
138610,나이벡
130580,나이스디앤비
036800,나이스정보통신
001260,남광토건
008350,남선알미늄
008355,남선알미우
004270,남성
003920,남양유업
003925,남양유업우
002070,남영비비안
025860,남해화학
091590,남화토건
079180,내일신문
168330,내츄럴엔도텍
072770,네오디안테크놀로지
212560,네오오토
095660,네오위즈게임즈
042420,네오위즈홀딩스
085910,네오티스
092730,네오팜
101400,네오피델리티
170120,네오홀딩스
153460,네이블
007390,네이처셀
033640,네패스
087730,네패스신소재
005720,넥센
005725,넥센우
002350,넥센타이어
002355,넥센타이어1우B
073070,넥센테크
110570,#넥솔론
089140,넥스턴
065170,넥스트BT
139670,넥스트리밍
051980,넥스트바이오홀딩스
137940,넥스트아이
092600,넥스트칩
041140,넥슨지티
047730,넷웨이브
043990,넷피아
090350,노루페인트
090355,노루페인트우
000320,노루홀딩스
000327,노루홀딩스2우B
000325,노루홀딩스우
006280,녹십자
144510,녹십자랩셀
031390,녹십자셀
142280,녹십자엠에스
005250,녹십자홀딩스
005255,녹십자홀딩스1우
005257,녹십자홀딩스2우
004370,농심
072710,농심홀딩스
054050,농우바이오
040160,누리텔레콤
